test_id,direction,speed_mm_s,event_type,image_frame,image_file,t_image_s_est,event_time_s,force_mapping_status,visual_endpoint_evidence,event_alignment_status,event_vfm_ready,X1_Press_N,X2_Press_N,Y1_Press_N,Y2_Press_N,X1_Pos_mm,X2_Pos_mm,Y1_Pos_mm,Y2_Pos_mm
XY_Y-09-0.1-02,Y,0.2,force_peak,1112,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img001112.jpg,109.64670614035087,109.694,estimated_from_endpoint_time_map,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False,-9.0,-8.0,-1486.0,-1488.0,0.0928,39.5381,17.9736,18.15203552631578
XY_Y-09-0.1-02,Y,0.2,force_drop,1819,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img001819.jpg,179.02534484649124,178.979,estimated_from_endpoint_time_map,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False,-9.0,-8.0,-3.0,-4.0,0.08400005482456516,39.5439,24.880934649122818,25.30535515350877
XY_Y-09-0.1-02,Y,0.2,file_last,1824,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img001824.jpg,179.516,,estimated_from_endpoint_time_map,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False,-8.0,-8.0,-4.0,-3.0,0.0898,39.5391,24.96,25.1387
XY_Y-09-0.1-02,Y,0.2,visual_last_event,1824,XY/袁-20250529/Y-09-0.1-02/Test1/33061_1_22/Img001824.jpg,179.516,,estimated_from_endpoint_time_map,Img001824 中部断裂，候选有效末帧,event_frames_estimated_endpoint_review,False,-8.0,-8.0,-4.0,-3.0,0.0898,39.5391,24.96,25.1387
XY_Y-10-1-01,Y,2.0,load_onset,0,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000000.jpg,0.095,0.095,estimated_from_endpoint_time_map,Img001557 破坏；末端力大幅变化，事件类型需核对,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-31.0,-29.0,0.0898,39.5391,6.1113,6.2129
XY_Y-10-1-01,Y,2.0,force_peak,888,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img000888.jpg,8.793635838150289,8.796,estimated_from_endpoint_time_map,Img001557 破坏；末端力大幅变化，事件类型需核对,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-1458.0,-1459.0,0.0898,39.5391,14.815072254335261,14.944935838150288
XY_Y-10-1-01,Y,2.0,file_last,1557,XY/袁-20250529/Y-10-1-01/Test1/33061_1_23/Img001557.jpg,15.347,,estimated_from_endpoint_time_map,Img001557 破坏；末端力大幅变化，事件类型需核对,event_frames_estimated_endpoint_review,False,-7.0,-8.0,-1243.0,-1245.0,0.0898,39.5391,21.3662,21.4941
XY_Y-11-10-01,Y,20.0,force_peak,0,XY/袁-20250529/Y-11-10-01/Test1/33061_1_24/Img000000.jpg,0.0,0.0,estimated_from_endpoint_time_map,Img000710 破坏；记录从高预载开始,preloaded_start_review,False,-9.0,-8.0,-1559.0,-1552.0,0.0869,39.5391,10.5977,10.6309
XY_Y-11-10-01,Y,20.0,file_last,710,XY/袁-20250529/Y-11-10-01/Test1/33061_1_24/Img000710.jpg,1.89,,estimated_from_endpoint_time_map,Img000710 破坏；记录从高预载开始,preloaded_start_review,False,-7.0,-8.0,-3.0,-11.0,0.0859,39.5391,29.501,29.5645
XY_Y-11-10-01,Y,20.0,visual_last_event,710,XY/袁-20250529/Y-11-10-01/Test1/33061_1_24/Img000710.jpg,1.89,,estimated_from_endpoint_time_map,Img000710 破坏；记录从高预载开始,preloaded_start_review,False,-7.0,-8.0,-3.0,-11.0,0.0859,39.5391,29.501,29.5645
