node_label,x0_mm,y0_mm,u_mm,v_mm
285,55.0,65.0,0.275,0.325
286,60.0,65.0,0.3,0.325
287,65.0,65.0,0.325,0.325
288,70.0,65.0,0.35,0.325
289,75.0,65.0,0.375,0.325
290,80.0,65.0,0.4,0.325
291,85.0,65.0,0.425,0.325
292,90.0,65.0,0.45,0.325
293,95.0,65.0,0.475,0.325
294,100.0,65.0,0.5,0.325
295,0.0,70.0,2.3076923e-35,0.35
296,5.0,70.0,0.025,0.35
297,10.0,70.0,0.05,0.35
298,15.0,70.0,0.075,0.35
299,20.0,70.0,0.1,0.35
300,25.0,70.0,0.125,0.35
301,30.0,70.0,0.15,0.35
302,35.0,70.0,0.175,0.35
303,40.0,70.0,0.2,0.35
304,45.0,70.0,0.225,0.35
305,50.0,70.0,0.25,0.35
306,55.0,70.0,0.275,0.35
307,60.0,70.0,0.3,0.35
308,65.0,70.0,0.325,0.35
309,70.0,70.0,0.35,0.35
310,75.0,70.0,0.375,0.35
311,80.0,70.0,0.4,0.35
312,85.0,70.0,0.425,0.35
313,90.0,70.0,0.45,0.35
314,95.0,70.0,0.475,0.35
315,100.0,70.0,0.5,0.35
316,0.0,75.0,2.3076923e-35,0.375
317,5.0,75.0,0.025,0.375
318,10.0,75.0,0.05,0.375
319,15.0,75.0,0.075,0.375
320,20.0,75.0,0.1,0.375
321,25.0,75.0,0.125,0.375
322,30.0,75.0,0.15,0.375
323,35.0,75.0,0.175,0.375
324,40.0,75.0,0.2,0.375
325,45.0,75.0,0.225,0.375
326,50.0,75.0,0.25,0.375
327,55.0,75.0,0.275,0.375
328,60.0,75.0,0.3,0.375
329,65.0,75.0,0.325,0.375
330,70.0,75.0,0.35,0.375
331,75.0,75.0,0.375,0.375
332,80.0,75.0,0.4,0.375
333,85.0,75.0,0.425,0.375
334,90.0,75.0,0.45,0.375
335,95.0,75.0,0.475,0.375
336,100.0,75.0,0.5,0.375
337,0.0,80.0,2.3076923e-35,0.4
338,5.0,80.0,0.025,0.4
339,10.0,80.0,0.05,0.4
340,15.0,80.0,0.075,0.4
341,20.0,80.0,0.1,0.4
342,25.0,80.0,0.125,0.4
343,30.0,80.0,0.15,0.4
344,35.0,80.0,0.175,0.4
345,40.0,80.0,0.2,0.4
346,45.0,80.0,0.225,0.4
347,50.0,80.0,0.25,0.4
348,55.0,80.0,0.275,0.4
349,60.0,80.0,0.3,0.4
350,65.0,80.0,0.325,0.4
351,70.0,80.0,0.35,0.4
352,75.0,80.0,0.375,0.4
353,80.0,80.0,0.4,0.4
354,85.0,80.0,0.425,0.4
355,90.0,80.0,0.45,0.4
356,95.0,80.0,0.475,0.4
357,100.0,80.0,0.5,0.4
358,0.0,85.0,2.3076923e-35,0.425
359,5.0,85.0,0.025,0.425
360,10.0,85.0,0.05,0.425
361,15.0,85.0,0.075,0.425
362,20.0,85.0,0.1,0.425
363,25.0,85.0,0.125,0.425
364,30.0,85.0,0.15,0.425
365,35.0,85.0,0.175,0.425
366,40.0,85.0,0.2,0.425
367,45.0,85.0,0.225,0.425
368,50.0,85.0,0.25,0.425
369,55.0,85.0,0.275,0.425
370,60.0,85.0,0.3,0.425
371,65.0,85.0,0.325,0.425
372,70.0,85.0,0.35,0.425
373,75.0,85.0,0.375,0.425
374,80.0,85.0,0.4,0.425
375,85.0,85.0,0.425,0.425
376,90.0,85.0,0.45,0.425
377,95.0,85.0,0.475,0.425
378,100.0,85.0,0.5,0.425
379,0.0,90.0,2.3076923e-35,0.45
380,5.0,90.0,0.025,0.45
381,10.0,90.0,0.05,0.45
382,15.0,90.0,0.075,0.45
383,20.0,90.0,0.1,0.45
384,25.0,90.0,0.125,0.45
385,30.0,90.0,0.15,0.45
386,35.0,90.0,0.175,0.45
387,40.0,90.0,0.2,0.45
388,45.0,90.0,0.225,0.45
389,50.0,90.0,0.25,0.45
